relative_path,class,label,latin_label,phonetic,type
English Handwritten Characters\train\0\img001-001.png,0,0,0,zero,DIGIT
English Handwritten Characters\train\1\img002-001.png,1,1,1,one,DIGIT
English Handwritten Characters\train\2\img003-001.png,2,2,2,two,DIGIT
English Handwritten Characters\train\3\img004-001.png,3,3,3,three,DIGIT
English Handwritten Characters\train\4\img005-001.png,4,4,4,four,DIGIT
English Handwritten Characters\train\5\img006-001.png,5,5,5,five,DIGIT
English Handwritten Characters\train\6\img007-001.png,6,6,6,six,DIGIT
English Handwritten Characters\train\7\img008-001.png,7,7,7,seven,DIGIT
English Handwritten Characters\train\8\img009-001.png,8,8,8,eight,DIGIT
English Handwritten Characters\train\9\img010-001.png,9,9,9,nine,DIGIT
English Handwritten Characters\train\10\img011-001.png,10,A,A,,LETTER_UPPER
English Handwritten Characters\train\11\img012-001.png,11,B,B,,LETTER_UPPER
English Handwritten Characters\train\12\img013-001.png,12,C,C,,LETTER_UPPER
English Handwritten Characters\train\13\img014-001.png,13,D,D,,LETTER_UPPER
English Handwritten Characters\train\14\img015-001.png,14,E,E,,LETTER_UPPER
English Handwritten Characters\train\15\img016-001.png,15,F,F,,LETTER_UPPER
English Handwritten Characters\train\16\img017-001.png,16,G,G,,LETTER_UPPER
English Handwritten Characters\train\17\img018-001.png,17,H,H,,LETTER_UPPER
English Handwritten Characters\train\18\img019-001.png,18,I,I,,LETTER_UPPER
English Handwritten Characters\train\19\img020-001.png,19,J,J,,LETTER_UPPER
English Handwritten Characters\train\20\img021-001.png,20,K,K,,LETTER_UPPER
English Handwritten Characters\train\21\img022-001.png,21,L,L,,LETTER_UPPER
English Handwritten Characters\train\22\img023-001.png,22,M,M,,LETTER_UPPER
English Handwritten Characters\train\23\img024-001.png,23,N,N,,LETTER_UPPER
English Handwritten Characters\train\24\img025-001.png,24,O,O,,LETTER_UPPER
English Handwritten Characters\train\25\img026-001.png,25,P,P,,LETTER_UPPER
English Handwritten Characters\train\26\img027-001.png,26,Q,Q,,LETTER_UPPER
English Handwritten Characters\train\27\img028-001.png,27,R,R,,LETTER_UPPER
English Handwritten Characters\train\28\img029-001.png,28,S,S,,LETTER_UPPER
English Handwritten Characters\train\29\img030-001.png,29,T,T,,LETTER_UPPER
English Handwritten Characters\train\30\img031-001.png,30,U,U,,LETTER_UPPER
English Handwritten Characters\train\31\img032-001.png,31,V,V,,LETTER_UPPER
